lambda,rho_autolyap,rho_theory
0.010000000000,0.995012478446,0.995012515703
0.030000000000,0.985112895941,0.985112928293
0.050000000000,0.975314479459,0.975314503123
0.070000000000,0.965618031328,0.965618053300
0.090000000000,0.956024385634,0.956024425701
0.110000000000,0.946534484798,0.946534502618
0.130000000000,0.937149187634,0.937149203489
0.150000000000,0.927869469920,0.927869486730
0.170000000000,0.918696332487,0.918696351656
0.190000000000,0.909630827665,0.909630840516
0.210000000000,0.900674025374,0.900674040627
0.230000000000,0.891827073186,0.891827086631
0.250000000000,0.883091149854,0.883091162872
0.270000000000,0.874467491598,0.874467505896
0.290000000000,0.865957393653,0.865957407094
0.310000000000,0.857562203475,0.857562215477
0.330000000000,0.849283328821,0.849283340607
0.350000000000,0.841122245426,0.841122255678
0.370000000000,0.833080489267,0.833080500765
0.390000000000,0.825159674635,0.825159686240
0.410000000000,0.817361484297,0.817361496365
0.430000000000,0.809687680561,0.809687693077
0.450000000000,0.802140107941,0.802140119961
0.470000000000,0.794720695705,0.794720706430
0.490000000000,0.787431462514,0.787431472105
0.510000000000,0.780274522548,0.780274531422
0.530000000000,0.773252089648,0.773252098454
0.550000000000,0.766366482439,0.766366491968
0.570000000000,0.759620129073,0.759620140712
0.590000000000,0.753015579189,0.753015588944
0.610000000000,0.746555492178,0.746555502205
0.630000000000,0.740242663696,0.740242673339
0.650000000000,0.734080020458,0.734080028751
0.670000000000,0.728070623707,0.728070634922
0.690000000000,0.722217696142,0.722217705155
0.710000000000,0.716524595785,0.716524606558
0.730000000000,0.710994857617,0.710994867255
0.750000000000,0.705632174623,0.705632183803
0.770000000000,0.700440419107,0.700440428804
0.790000000000,0.695423648327,0.695423658691
0.810000000000,0.690586111066,0.690586121645
0.830000000000,0.685932260008,0.685932265632
0.850000000000,0.681466736020,0.681466746499
0.870000000000,0.677194423265,0.677194436080
0.890000000000,0.673120416780,0.673120430270
0.910000000000,0.669250044780,0.669250056985
0.930000000000,0.665588871774,0.665588883925
0.950000000000,0.662142710526,0.662142726076
0.970000000000,0.658917640404,0.658917652820
0.990000000000,0.655919980379,0.655919994567
1.010000000000,0.653156334768,0.653156348763
1.030000000000,0.650633569473,0.650633585159
1.050000000000,0.648358833982,0.648358850167
1.070000000000,0.646339555272,0.646339570169
1.090000000000,0.644583431726,0.644583453580
1.110000000000,0.643098473471,0.643098491514
1.130000000000,0.641892936451,0.641892956836
1.150000000000,0.640975382873,0.640975401432
1.170000000000,0.640354633348,0.640354651493
1.190000000000,0.640039784951,0.640039800629
1.210000000000,0.640040182671,0.640040200621
1.230000000000,0.640365432773,0.640365449670
1.250000000000,0.641025363930,0.641025377965
1.270000000000,0.642030010919,0.642030030478
1.290000000000,0.643389631479,0.643389646883
1.310000000000,0.645114625759,0.645114638573
1.330000000000,0.647215551698,0.647215562759
1.350000000000,0.649703078933,0.649703093736
1.370000000000,0.652587977364,0.652587991421
1.390000000000,0.655881050542,0.655881067356
1.410000000000,0.659593134916,0.659593148433
1.430000000000,0.663735021075,0.663735038659
1.450000000000,0.668317460455,0.668317479358
1.470000000000,0.673351088510,0.673351108252
1.490000000000,0.678846399162,0.678846417933
1.510000000000,0.684813699006,0.684813714266
1.530000000000,0.691263061521,0.691263075316
1.550000000000,0.698204296707,0.698204311373
1.570000000000,0.705646913980,0.705646926690
1.590000000000,0.713600071313,0.713600083494
1.610000000000,0.722072559194,0.722072568821
1.630000000000,0.731072756917,0.731072764653
1.650000000000,0.740608614758,0.740608621784
1.670000000000,0.750687630611,0.750687637763
1.690000000000,0.761316830712,0.761316839146
1.710000000000,0.772502760858,0.772502768232
1.730000000000,0.784251466762,0.784251474338
1.750000000000,0.796568502526,0.796568509570
1.770000000000,0.809458924139,0.809458928969
1.790000000000,0.822927289631,0.822927294819
1.810000000000,0.836977680457,0.836977684831
1.830000000000,0.851613699596,0.851613703869
1.850000000000,0.866838495484,0.866838498824
1.870000000000,0.882654772505,0.882654776210
1.890000000000,0.899064818824,0.899064822063
1.910000000000,0.916070519856,0.916070523680
1.930000000000,0.933673388325,0.933673392773
1.950000000000,0.951874585362,0.951874589626
1.970000000000,0.970674944576,0.970674947846
1.990000000000,0.990074994977,0.990074999369
