K,c_K_autolyap,c_K_theory
1,9.801985089451e-01,9.801985099379e-01
2,9.492055821335e-01,9.492055824916e-01
3,9.091827806172e-01,9.091828029287e-01
4,8.620548011958e-01,8.620548212214e-01
5,8.096913267438e-01,8.096913272074e-01
6,7.538799296674e-01,7.538799297334e-01
7,6.962673744354e-01,6.962673745778e-01
8,6.383075926058e-01,6.383075926721e-01
9,5.812278381024e-01,5.812278381860e-01
10,5.260147688248e-01,5.260147689647e-01
11,4.734180998598e-01,4.734181000140e-01
12,4.239676304264e-01,4.239676304603e-01
13,3.779990114466e-01,3.779990115100e-01
14,3.356840183617e-01,3.356840184378e-01
15,2.970619073135e-01,2.970619073474e-01
16,2.620693882840e-01,2.620693883398e-01
17,2.305676456383e-01,2.305676456919e-01
18,2.023655841929e-01,2.023655842626e-01
19,1.772390449150e-01,1.772390450048e-01
20,1.549461164607e-01,1.549461172566e-01
21,1.352389032793e-01,1.352389089349e-01
22,1.178722358797e-01,1.178722529930e-01
23,1.026098393208e-01,1.026098638306e-01
24,8.922840898943e-02,8.922843991267e-02
25,7.752011989036e-02,7.752016120823e-02
26,6.729392484140e-02,6.729396832284e-02
27,5.837590514912e-02,5.837594506212e-02
28,5.060899912449e-02,5.060906412299e-02
29,4.385237012046e-02,4.385250013864e-02
30,3.798045243653e-02,3.798066684979e-02
31,3.288209586641e-02,3.288209591352e-02
32,2.845824273563e-02,2.845824323772e-02
33,2.462228154317e-02,2.462228383398e-02
34,2.129792687307e-02,2.129793698010e-02
35,1.841832738871e-02,1.841834895764e-02
36,1.592501770247e-02,1.592504985452e-02
37,1.376695848873e-02,1.376699309423e-02
38,1.189963707326e-02,1.189968080194e-02
39,1.028437386079e-02,1.028437429606e-02
40,8.887372002391e-03,8.887386466016e-03
41,7.679449069911e-03,7.679451222230e-03
42,6.635159184419e-03,6.635164317445e-03
43,5.732481636038e-03,5.732489439916e-03
44,4.952313057790e-03,4.952323417174e-03
45,4.278104684113e-03,4.278114532094e-03
46,3.695507806564e-03,3.695528259034e-03
47,3.192085652112e-03,3.192155117794e-03
48,2.757105349519e-03,2.757255775227e-03
49,2.381279310365e-03,2.381538969620e-03
50,2.056967497994e-03,2.056968271957e-03
51,1.776591537637e-03,1.776594118385e-03
52,1.534403190018e-03,1.534407941902e-03
53,1.325210436511e-03,1.325215594609e-03
54,1.144390970170e-03,1.144527582986e-03
55,9.884529129973e-04,9.884639377254e-04
56,8.536531093384e-04,8.536718077226e-04
57,7.372229326935e-04,7.372541066668e-04
58,6.366268849251e-04,6.367077524336e-04
59,5.498035898895e-04,5.498702264683e-04
60,4.747951279402e-04,4.748733448993e-04
61,4.100244438404e-04,4.101032775243e-04
62,3.540930558743e-04,3.541659772396e-04
63,3.057251543801e-04,3.058572929370e-04
64,2.640457171951e-04,2.641371352487e-04
65,2.279761851045e-04,2.281071484398e-04
66,1.968456814358e-04,1.969914147579e-04
67,1.699634775646e-04,1.701197809955e-04
68,1.467386549278e-04,1.469134521136e-04
69,1.266836261443e-04,1.268725445685e-04
70,1.093754217545e-04,1.095653334293e-04
71,9.442381557515e-05,9.461896328346e-05
72,8.152887787956e-05,8.171142403657e-05
73,7.039134412592e-05,7.056461964015e-05
74,6.070777714548e-05,6.093838109317e-05
75,5.257931531800e-05,5.262529522811e-05
76,4.539562852241e-05,4.544623823771e-05
77,3.919360001815e-05,3.924651798467e-05
78,3.385670966070e-05,3.389254218041e-05
79,2.917432812315e-05,2.926894079525e-05
80,2.523277361438e-05,2.527608080970e-05
81,2.178215517947e-05,2.182791983966e-05
82,1.879905904797e-05,1.885015244872e-05
83,1.623307657403e-05,1.627860925008e-05
84,1.400540541028e-05,1.405787433599e-05
85,1.207631359662e-05,1.214009126773e-05
86,1.041888576927e-05,1.048393191555e-05
87,8.989981289710e-06,9.053705942105e-06
88,7.739046438811e-06,7.818591749996e-06
89,6.672162909922e-06,6.751972328528e-06
90,5.750468776677e-06,5.830861693215e-06
91,4.952651248506e-06,5.035409562314e-06
92,4.263330946720e-06,4.348473599438e-06
93,3.676222068188e-06,3.755250006471e-06
94,3.164643963628e-06,3.242954507810e-06
95,2.704184958704e-06,2.800546852427e-06
96,2.309286417841e-06,2.418492897678e-06
97,1.968766793930e-06,2.088559148442e-06
98,1.669020805215e-06,1.803635324362e-06
99,1.414230734950e-06,1.557581131857e-06
100,1.211461181523e-06,1.345093939069e-06
